state,legyear,house,sen,dwnom,dwnomfull
MN,2013,-0.629,,-0.629,-0.629
MN,2014,-0.629,,-0.629,-0.629
MN,2015,-0.629,,-0.629,-0.629
MN,2016,-0.629,,-0.629,-0.629
MN,2017,-0.629,,-0.629,-0.629
MO,1993,,,,-0.1565
MO,1994,,,,-0.1565
MO,1995,,,,-0.1565
MO,1996,-0.201,-0.112,-0.1565,-0.1565
MO,1997,-0.247,-0.112,-0.1795,-0.1795
MO,1998,-0.21,-0.112,-0.161,-0.161
MO,1999,-0.201,-0.088,-0.1445,-0.1445
MO,2000,-0.201,-0.088,-0.1445,-0.1445
MO,2001,-0.201,0.37,0.0845,0.0845
MO,2002,-0.208,0.379,0.0855,0.0855
MO,2003,0.806,0.704,0.755,0.755
MO,2004,0.809,0.704,0.7565,0.7565
MO,2005,0.901,0.826,0.8635,0.8635
MO,2006,0.864,0.873,0.8685,0.8685
MO,2007,0.859,0.826,0.8425,0.8425
MO,2008,0.843,0.794,0.8185,0.8185
MO,2009,,,,1.056
MO,2010,,,,1.056
MO,2011,,,,1.056
MO,2012,,1.056,1.056,1.056
MO,2013,,1.056,1.056,1.056
MO,2014,,1.062,1.062,1.062
MO,2015,,1.062,1.062,1.062
MO,2016,,1.062,1.062,1.062
MO,2017,,1.062,1.062,1.062
MS,1993,,,,0.355
MS,1994,,,,0.355
MS,1995,,,,0.355
MS,1996,0.244,0.466,0.355,0.355
MS,1997,0.226,0.466,0.346,0.346
MS,1998,0.219,0.466,0.3425,0.3425
MS,1999,0.212,0.466,0.339,0.339
MS,2000,0.14,0.519,0.3295,0.3295
